"filename", "language", "Markdown", "JSON", "JSON with Comments", "HTML", "TypeScript", "vue", "SCSS", "JavaScript", "YAML", "comment", "blank", "total"
"e:\Code\WhatsPPT\src\store\index.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"e:\Code\WhatsPPT\src\store\keyboard.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 4, 33
"e:\Code\WhatsPPT\src\store\main.ts", "TypeScript", 0, 0, 0, 0, 175, 0, 0, 0, 0, 0, 35, 210
"e:\Code\WhatsPPT\src\store\screen.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 3, 17
"e:\Code\WhatsPPT\src\store\slides.ts", "TypeScript", 0, 0, 0, 0, 194, 0, 0, 0, 0, 3, 35, 232
"e:\Code\WhatsPPT\src\store\snapshot.ts", "TypeScript", 0, 0, 0, 0, 94, 0, 0, 0, 0, 9, 27, 130
"e:\Code\WhatsPPT\src\types\AIPPT.ts", "TypeScript", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 8, 44
"e:\Code\WhatsPPT\src\types\edit.ts", "TypeScript", 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 15, 126
"e:\Code\WhatsPPT\src\types\export.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\Code\WhatsPPT\src\types\injectKey.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 2, 12
"e:\Code\WhatsPPT\src\types\mobile.ts", "TypeScript", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"e:\Code\WhatsPPT\src\types\slides.ts", "TypeScript", 0, 0, 0, 0, 308, 0, 0, 0, 0, 405, 55, 768
"e:\Code\WhatsPPT\src\types\toolbar.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"e:\Code\WhatsPPT\src\utils\clipboard.ts", "TypeScript", 0, 0, 0, 0, 57, 0, 0, 0, 0, 7, 8, 72
"e:\Code\WhatsPPT\src\utils\common.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 11, 3, 24
"e:\Code\WhatsPPT\src\utils\crypto.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 8, 3, 20
"e:\Code\WhatsPPT\src\utils\database.ts", "TypeScript", 0, 0, 0, 0, 43, 0, 0, 0, 0, 4, 12, 59
"e:\Code\WhatsPPT\src\utils\element.ts", "TypeScript", 0, 0, 0, 0, 181, 0, 0, 0, 0, 44, 23, 248
"e:\Code\WhatsPPT\src\utils\emitter.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 6, 29
"e:\Code\WhatsPPT\src\utils\fullscreen.ts", "TypeScript", 0, 0, 0, 0, 22, 0, 0, 0, 0, 3, 2, 27
"e:\Code\WhatsPPT\src\utils\htmlParser\format.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 5, 47
"e:\Code\WhatsPPT\src\utils\htmlParser\index.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 4, 16
"e:\Code\WhatsPPT\src\utils\htmlParser\lexer.ts", "TypeScript", 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 36, 275
"e:\Code\WhatsPPT\src\utils\htmlParser\parser.ts", "TypeScript", 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 14, 129
"e:\Code\WhatsPPT\src\utils\htmlParser\stringify.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 5, 28
"e:\Code\WhatsPPT\src\utils\htmlParser\tags.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"e:\Code\WhatsPPT\src\utils\htmlParser\types.ts", "TypeScript", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 15, 70
"e:\Code\WhatsPPT\src\utils\image.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 16, 10, 75
"e:\Code\WhatsPPT\src\utils\message.ts", "TypeScript", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 14, 103
"e:\Code\WhatsPPT\src\utils\print.ts", "TypeScript", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 13, 87
"e:\Code\WhatsPPT\src\utils\prosemirror\commands\setListStyle.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 6, 31
"e:\Code\WhatsPPT\src\utils\prosemirror\commands\setTextAlign.ts", "TypeScript", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 11, 62
"e:\Code\WhatsPPT\src\utils\prosemirror\commands\setTextIndent.ts", "TypeScript", 0, 0, 0, 0, 67, 0, 0, 0, 0, 0, 20, 87
"e:\Code\WhatsPPT\src\utils\prosemirror\commands\toggleList.ts", "TypeScript", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 13, 54
"e:\Code\WhatsPPT\src\utils\prosemirror\index.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 3, 32
"e:\Code\WhatsPPT\src\utils\prosemirror\plugins\index.ts", "TypeScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 6, 31
"e:\Code\WhatsPPT\src\utils\prosemirror\plugins\inputrules.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 13, 63
"e:\Code\WhatsPPT\src\utils\prosemirror\plugins\keymap.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 4, 51
"e:\Code\WhatsPPT\src\utils\prosemirror\plugins\placeholder.ts", "TypeScript", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 23
"e:\Code\WhatsPPT\src\utils\prosemirror\schema\index.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"e:\Code\WhatsPPT\src\utils\prosemirror\schema\marks.ts", "TypeScript", 0, 0, 0, 0, 180, 0, 0, 0, 0, 0, 12, 192
"e:\Code\WhatsPPT\src\utils\prosemirror\schema\nodes.ts", "TypeScript", 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 22, 179
"e:\Code\WhatsPPT\src\utils\prosemirror\utils.ts", "TypeScript", 0, 0, 0, 0, 225, 0, 0, 0, 0, 0, 35, 260
"e:\Code\WhatsPPT\src\utils\selection.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 0, 5
"e:\Code\WhatsPPT\src\utils\svg2Base64.ts", "TypeScript", 0, 0, 0, 0, 46, 0, 0, 0, 0, 1, 8, 55
"e:\Code\WhatsPPT\src\utils\svgPathParser.ts", "TypeScript", 0, 0, 0, 0, 128, 0, 0, 0, 0, 8, 10, 146
"e:\Code\WhatsPPT\src\utils\textParser.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 0, 13
"e:\Code\WhatsPPT\src\views\Editor\AIPPTDialog.vue", "vue", 0, 0, 0, 0, 0, 380, 0, 0, 0, 1, 54, 435
"e:\Code\WhatsPPT\src\views\Editor\CanvasTool\ChartPool.vue", "vue", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 11, 68
"e:\Code\WhatsPPT\src\views\Editor\CanvasTool\LinePool.vue", "vue", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 10, 112
"e:\Code\WhatsPPT\src\views\Editor\CanvasTool\MediaInput.vue", "vue", 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 12, 76
"e:\Code\WhatsPPT\src\views\Editor\CanvasTool\ShapeItemThumbnail.vue", "vue", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 6, 62
"e:\Code\WhatsPPT\src\views\Editor\CanvasTool\ShapePool.vue", "vue", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 6, 63
"e:\Code\WhatsPPT\src\views\Editor\CanvasTool\TableGenerator.vue", "vue", 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 17, 162
"e:\Code\WhatsPPT\src\views\Editor\CanvasTool\index.vue", "vue", 0, 0, 0, 0, 0, 325, 0, 0, 0, 0, 36, 361
"e:\Code\WhatsPPT\src\views\Editor\Canvas\AlignmentLine.vue", "vue", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 7, 49
"e:\Code\WhatsPPT\src\views\Editor\Canvas\EditableElement.vue", "vue", 0, 0, 0, 0, 0, 158, 0, 0, 0, 0, 9, 167
"e:\Code\WhatsPPT\src\views\Editor\Canvas\ElementCreateSelection.vue", "vue", 0, 0, 0, 0, 0, 194, 0, 0, 0, 1, 36, 231
"e:\Code\WhatsPPT\src\views\Editor\Canvas\GridLines.vue", "vue", 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 8, 61
"e:\Code\WhatsPPT\src\views\Editor\Canvas\LinkDialog.vue", "vue", 0, 0, 0, 0, 0, 110, 0, 0, 0, 0, 20, 130
"e:\Code\WhatsPPT\src\views\Editor\Canvas\MouseSelection.vue", "vue", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 3, 46
"e:\Code\WhatsPPT\src\views\Editor\Canvas\Operate\BorderLine.vue", "vue", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 6, 72
"e:\Code\WhatsPPT\src\views\Editor\Canvas\Operate\CommonElementOperate.vue", "vue", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 8, 64
